categoria,titulo,preco,desconto,url,imagem
Brincos (Lançamentos),Brinco Oval abaulado 8mm Liso de Prata,,,https://silvercrown.com.br/produtos/brinco-oval-abaulado-8mm-liso-de-prata-925-atacado/,//acdn-us.mitiendanube.com/assets/themes/amazonas/static/images/empty-placeholder.png
Brincos (Lançamentos),"Trio de Brinco Flor, Coração e Ponto de Luz de Prata",,,https://silvercrown.com.br/produtos/trio-de-brinco-flor-coracao-e-ponto-de-luz-de-prata-925-atacado/,//acdn-us.mitiendanube.com/assets/themes/amazonas/static/images/empty-placeholder.png
Brincos (Lançamentos),Brinco Coração Folha Martelado 16mm de Prata,,,https://silvercrown.com.br/produtos/brinco-coracao-folha-martelado-16mm-de-prata-925-atacado/,//acdn-us.mitiendanube.com/assets/themes/amazonas/static/images/empty-placeholder.png
Berloques (Lançamentos),,,,https://silvercrown.com.br/produtos/,
Berloques (Lançamentos),Berloque Cerveja Verde 3D Liso e Resinado de Prata,,,https://silvercrown.com.br/produtos/berloque-cerveja-verde-3d-liso-e-resinado-de-prata-925-atacado/,//acdn-us.mitiendanube.com/assets-parrot/themes/amazonas/static/images/empty-placeholder.png
Berloques (Lançamentos),Berloque Refrigerante Vermelho 3D Liso e Resinado de Prata,,,https://silvercrown.com.br/produtos/berloque-refrigerante-vermelho-3d-liso-e-resinado-de-prata-925-atacado/,//acdn-us.mitiendanube.com/assets-parrot/themes/amazonas/static/images/empty-placeholder.png
Berloques (Lançamentos),Berloque Chocolate Resinado e Liso de Prata,,,https://silvercrown.com.br/produtos/berloque-chocolate-resinado-e-liso-de-prata-925-atacado/,//acdn-us.mitiendanube.com/assets-parrot/themes/amazonas/static/images/empty-placeholder.png
Berloques (Lançamentos),Berloque Gato Cravejado 8mm de Prata,,,https://silvercrown.com.br/produtos/berloque-gato-cravejado-8mm-de-prata-925-atacado/,//acdn-us.mitiendanube.com/assets-parrot/themes/amazonas/static/images/empty-placeholder.png
Berloques (Lançamentos),Berloque Letra S Vazado Cravejado de Prata,,,https://silvercrown.com.br/produtos/berloque-letra-s-vazado-cravejado-de-prata-925-atacado/,//acdn-us.mitiendanube.com/assets-parrot/themes/amazonas/static/images/empty-placeholder.png
Berloques (Lançamentos),Berloque Letra R Vazado Cravejado de Prata,,,https://silvercrown.com.br/produtos/berloque-letra-r-vazado-cravejado-de-prata-925-atacado/,//acdn-us.mitiendanube.com/assets-parrot/themes/amazonas/static/images/empty-placeholder.png
Berloques (Lançamentos),Berloque Letra M Vazado Cravejado de Prata,,,https://silvercrown.com.br/produtos/berloque-letra-m-vazado-cravejado-de-prata-925-atacado/,//acdn-us.mitiendanube.com/assets-parrot/themes/amazonas/static/images/empty-placeholder.png
Berloques (Lançamentos),Berloque Letra L Vazado Cravejado de Prata,,,https://silvercrown.com.br/produtos/berloque-letra-l-vazado-cravejado-de-prata-925-atacado/,//acdn-us.mitiendanube.com/assets-parrot/themes/amazonas/static/images/empty-placeholder.png
Berloques (Lançamentos),Berloque Letra E Vazado Cravejado de Prata,,,https://silvercrown.com.br/produtos/berloque-letra-e-vazado-cravejado-de-prata-925-atacado/,//acdn-us.mitiendanube.com/assets-parrot/themes/amazonas/static/images/empty-placeholder.png
Gargantilhas (Lançamentos),,,,https://silvercrown.com.br/produtos/,
Gargantilhas (Lançamentos),Choker 13 Olho Grego Vermelho Mista,,,https://silvercrown.com.br/produtos/choker-13-olho-grego-vermelho-mista-e-prata-925-atacado/,//acdn-us.mitiendanube.com/assets/themes/amazonas/static/images/empty-placeholder.png
Gargantilhas (Lançamentos),Gargantilha Borboleta Cravejado 9mm de Prata,,,https://silvercrown.com.br/produtos/gargantilha-borboleta-cravejado-9mm-de-prata-925-atacado/,//acdn-us.mitiendanube.com/assets/themes/amazonas/static/images/empty-placeholder.png
Gargantilhas (Lançamentos),"Choker Pipoca Fio 130 1,3mm de Prata",,,https://silvercrown.com.br/produtos/choker-pipoca-fio-130-1-3mm-de-prata-925-atacado/,//acdn-us.mitiendanube.com/assets/themes/amazonas/static/images/empty-placeholder.png
Gargantilhas (Lançamentos),"Colar Círculo Cravejado Cristal 9,8mm de Prata",,,https://silvercrown.com.br/produtos/colar-circulo-cravejado-cristal-98mm-de-prata-925-atacado/,//acdn-us.mitiendanube.com/assets/themes/amazonas/static/images/empty-placeholder.png
Gargantilhas (Lançamentos),Colar Oval Vermelho Cravejado de Prata,,,https://silvercrown.com.br/produtos/colar-oval-vermelho-cravejado-de-prata-925-atacado/,//acdn-us.mitiendanube.com/assets/themes/amazonas/static/images/empty-placeholder.png
Gargantilhas (Lançamentos),Colar Oval Verde Cravejado de Prata,,,https://silvercrown.com.br/produtos/colar-oval-verde-cravejado-de-prata-925-atacado/,//acdn-us.mitiendanube.com/assets/themes/amazonas/static/images/empty-placeholder.png
Gargantilhas (Lançamentos),Colar Oval Cravejado Cristal de Prata,,,https://silvercrown.com.br/produtos/colar-oval-cravejado-cristal-de-prata-925-atacado/,//acdn-us.mitiendanube.com/assets/themes/amazonas/static/images/empty-placeholder.png
Gargantilhas (Lançamentos),Colar Ponto de Luz Gota Azul Cravejado de Prata,,,https://silvercrown.com.br/produtos/colar-ponto-de-luz-gota-azul-cravejado-de-prata-925-atacado/,//acdn-us.mitiendanube.com/assets/themes/amazonas/static/images/empty-placeholder.png
Gargantilhas (Lançamentos),Colar Ponto de Luz Gota Verde Cravejado de Prata,,,https://silvercrown.com.br/produtos/colar-ponto-de-luz-gota-verde-cravejado-de-prata-925-atacado/,//acdn-us.mitiendanube.com/assets/themes/amazonas/static/images/empty-placeholder.png
